案例编号,标题,事故类型,地点,状态,提交时间,优先级,复核人,天气,道路环境,描述
ACC-20260221-0071,山东省济宁市曲阜市曲阜市鼓楼南街与逵泉路交叉口多车连环碰撞,多车连环碰撞,山东省济宁市曲阜市曲阜市鼓楼南街与逵泉路交叉口,待处理,2026-02-21 08:40:39,中,,小雨,学校路段，限速30km/h，有减速带,夜间23时许，在山东省济宁市曲阜市曲阜市鼓楼南街与逵泉路交叉口，因未保持安全车距，面包车（A车，鲁H·Z798KU）首先与电动自行车（B车，鲁H·V22303）发生碰撞，后方小型轿车（C车，鲁H·V67949）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及3辆车，驾驶员受轻伤已送医。
ACC-20260221-0032,陕西省延安市安塞区安塞区城南大道与迎宾路交叉口闯红灯事故,闯红灯事故,陕西省延安市安塞区安塞区城南大道与迎宾路交叉口,已完成,2026-02-21 17:12:34,高,张建国,中雨,工业园区道路，货车通行频繁，路面有砂石,中午11时许，在陕西省延安市安塞区安塞区城南大道与迎宾路交叉口路口，货车（A车，陕J·W263HX）违反交通信号灯指示闯红灯，与正常通行的出租车（B车，陕J·D608YD）发生碰撞。事故造成后保险杠破裂。
ACC-20260222-0038,陕西省延安市安塞区安塞区坪桥镇加油站出口货车侧翻,货车侧翻,陕西省延安市安塞区安塞区坪桥镇加油站出口,已完成,2026-02-22 09:53:21,高,张建国,晴,省道三级公路，路面宽7米，夜间照明不足,下午2时50分许，在陕西省延安市安塞区安塞区坪桥镇加油站出口，货车（A车，陕J·K46691）在弯道行驶时因车速过快且操作不当，车辆重心偏移发生侧翻。事故造成车辆及所载货物受损，道路通行受阻。
ACC-20260223-0091,山东省济宁市曲阜市曲阜市327国道与104国道交汇处行人事故,行人事故,山东省济宁市曲阜市曲阜市327国道与104国道交汇处,处理中,2026-02-23 13:03:21,低,李明辉,小雨,高铁站前道路，交通流量大，有公交专用道,下午1时15分许，在山东省济宁市曲阜市曲阜市327国道与104国道交汇处，出租车（A车，鲁H·Q52753）行至该路段时，行人一行人突然从西横穿马路，出租车（A车，鲁H·Q52753）刹车不及发生碰撞。事故造成行人受伤倒地，车辆前保险杠受损。
ACC-20260223-0029,陕西省延安市安塞区安塞区化子坪镇幼儿园路段货车侧翻,货车侧翻,陕西省延安市安塞区安塞区化子坪镇幼儿园路段,待处理,2026-02-23 17:04:35,高,,雾,农村四级公路，路面宽5米，无标线,夜间23时许，在陕西省延安市安塞区安塞区化子坪镇幼儿园路段，货车（A车，陕J·S422MM）在弯道行驶时因车速过快且刹车失灵，车辆重心偏移发生侧翻。事故造成车辆及所载货物受损，道路通行受阻。
ACC-20260223-0012,陕西省延安市安塞区安塞区王家湾乡山路弯道爆胎失控,爆胎失控,陕西省延安市安塞区安塞区王家湾乡山路弯道,处理中,2026-02-23 19:42:55,高,王守义,阴,工业园区道路，货车通行频繁，路面有砂石,夜间22时许，在陕西省延安市安塞区安塞区王家湾乡山路弯道，出租车（A车，陕J·T51634）行驶途中右前轮突然爆胎，车辆失控撞向路中间的隔离墩。事故造成车辆右侧车门凹陷。
ACC-20260225-0069,山东省济宁市曲阜市曲阜市书院街道转盘路环岛单车事故,单车事故,山东省济宁市曲阜市曲阜市书院街道转盘路环岛,待分析,2026-02-25 06:56:24,高,,多云,城市主干道，双向四车道，沥青路面，限速50km/h,下午5时10分许，在山东省济宁市曲阜市曲阜市书院街道转盘路环岛，SUV（A车，鲁H·V393GW）行驶途中因疲劳驾驶，车辆失控撞向路中间的隔离墩，造成车辆左侧车身凹陷。
ACC-20260225-0088,山东省济宁市曲阜市曲阜市书院街道转盘路环岛开门杀事故,开门杀事故,山东省济宁市曲阜市曲阜市书院街道转盘路环岛,待分析,2026-02-25 22:18:10,中,,小雨,城市主干道，双向四车道，沥青路面，限速50km/h,下午2时50分许，在山东省济宁市曲阜市曲阜市书院街道转盘路环岛，面包车（A车，鲁H·C302ER）停车后驾驶员开门未观察后方，致使后方驶来的货车（B车，鲁H·X750RG）躲避不及撞上车门。事故造成货车（B车，鲁H·X750RG）驾驶员受伤倒地。
ACC-20260227-0037,陕西省延安市安塞区安塞区砖窑湾镇S303省道单车事故,单车事故,陕西省延安市安塞区安塞区砖窑湾镇S303省道,处理中,2026-02-27 09:30:49,中,陈志远,小雨,省道三级公路，路面宽7米，夜间照明不足,夜间22时许，在陕西省延安市安塞区安塞区砖窑湾镇S303省道，电动自行车（A车，陕J·L673LZ）行驶途中因疲劳驾驶，车辆失控撞向路中间的隔离墩，造成车辆车头严重变形。
ACC-20260227-0098,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口变道碰撞,变道碰撞,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口,待分析,2026-02-27 19:45:20,中,,中雨,学校路段，限速30km/h，有减速带,上午10时许，在山东省济宁市曲阜市曲阜市吴村镇中心街十字路口，小型轿车（A车，鲁H·K830SX）由西向东变道时，未观察后方来车，与正常行驶的电动自行车（B车，鲁H·B979FN）发生侧面碰撞。事故造成轻微受损。
ACC-20260228-0075,山东省济宁市曲阜市曲阜市时庄街道开发区主干道非机动车碰撞,非机动车碰撞,山东省济宁市曲阜市曲阜市时庄街道开发区主干道,待分析,2026-02-28 07:16:00,高,,霾,景区周边道路，旅游车辆密集，路边临时停车多,凌晨5时许，在山东省济宁市曲阜市曲阜市时庄街道开发区主干道，面包车（A车，鲁H·A949WR）与摩托车（B车，鲁H·K13583）在混合车道内行驶时，因跟车过近发生碰撞。事故造成受伤倒地。
ACC-20260228-0055,陕西省延安市安塞区安塞区城南客运站广场侧碰事故,侧碰事故,陕西省延安市安塞区安塞区城南客运站广场,处理中,2026-02-28 07:22:23,中,李明辉,阴,省道三级公路，路面宽7米，夜间照明不足,凌晨5时许，在陕西省延安市安塞区安塞区城南客运站广场，SUV（A车，陕J·X77505）在通过路口时，货车（B车，陕J·G10420）从北方向驶来，两车在路口中央发生侧面碰撞。事故造成SUV（A车，陕J·X77505）右侧车门严重变形，驾驶员受轻微擦伤。
ACC-20260228-0051,陕西省延安市安塞区安塞区招安镇街道十字路口倒车碰撞,倒车碰撞,陕西省延安市安塞区安塞区招安镇街道十字路口,处理中,2026-02-28 18:54:51,中,赵文博,晴,隧道入口段，照明过渡，限速40km/h,夜间22时许，在陕西省延安市安塞区安塞区招安镇街道十字路口，出租车（A车，陕J·T327AY）在倒车时未注意观察后方，与停放的出租车（B车，陕J·X200HT）发生碰撞。事故造成出租车（B车，陕J·X200HT）车身受损。
ACC-20260304-0070,山东省济宁市曲阜市曲阜市327国道与104国道交汇处超速失控,超速失控,山东省济宁市曲阜市曲阜市327国道与104国道交汇处,处理中,2026-03-04 11:08:07,中,张建国,雾,商业街区，人行横道密集，非机动车混行,上午11时20分许，在山东省济宁市曲阜市曲阜市327国道与104国道交汇处，面包车（A车，鲁H·Y735ZT）超速行驶至弯道路段时，车辆失控侧滑，与施工围挡发生碰撞。事故造成车辆严重受损。
ACC-20260304-0025,陕西省延安市安塞区安塞区真武洞镇后街菜市场门口酒驾事故,酒驾事故,陕西省延安市安塞区安塞区真武洞镇后街菜市场门口,已完成,2026-03-04 12:32:53,中,张建国,雾,高速公路出口匝道，单车道，弯道半径较小,中午12时30分许，在陕西省延安市安塞区安塞区真武洞镇后街菜市场门口，货车（A车，陕J·S32707）驾驶员涉嫌酒后驾驶，车辆失控与公交车（B车，陕J·P14727）发生碰撞。经检测货车（A车，陕J·S32707）驾驶员血液酒精含量超标。事故造成前保险杠脱落。
ACC-20260304-0048,陕西省延安市安塞区安塞区招安镇河滨路货车侧翻,货车侧翻,陕西省延安市安塞区安塞区招安镇河滨路,处理中,2026-03-04 21:38:59,低,王守义,小雨,城区十字路口，有交通信号灯，人车混行,晚上9时30分许，在陕西省延安市安塞区安塞区招安镇河滨路，货车（A车，陕J·C44761）在弯道行驶时因车速过快且避让前方障碍物，车辆重心偏移发生侧翻。事故造成车辆及所载货物受损，道路通行受阻。
ACC-20260305-0097,山东省济宁市曲阜市曲阜市春秋中路人民医院门前侧碰事故,侧碰事故,山东省济宁市曲阜市曲阜市春秋中路人民医院门前,处理中,2026-03-05 16:38:28,高,赵文博,多云,乡镇中心道路，赶集日人车密集，无信号灯,晚上8时许，在山东省济宁市曲阜市曲阜市春秋中路人民医院门前，SUV（A车，鲁H·J62639）在通过路口时，摩托车（B车，鲁H·V70835）从东方向驶来，两车在路口中央发生侧面碰撞。事故造成SUV（A车，鲁H·J62639）右侧车门严重变形，造成1人轻伤。
ACC-20260306-0023,陕西省延安市安塞区安塞区建华镇G210国道隧道口单车事故,单车事故,陕西省延安市安塞区安塞区建华镇G210国道隧道口,待处理,2026-03-06 14:28:24,中,,霾,隧道入口段，照明过渡，限速40km/h,上午9时15分许，在陕西省延安市安塞区安塞区建华镇G210国道隧道口，货车（A车，陕J·S282GY）行驶途中因判断失误，车辆失控撞向路边停放的车辆，造成车辆车头严重变形。
ACC-20260309-0014,陕西省延安市安塞区安塞区砖窑湾镇S303省道匝道事故,匝道事故,陕西省延安市安塞区安塞区砖窑湾镇S303省道,待处理,2026-03-09 18:41:05,低,,阴,乡镇街道，混合交通，无隔离设施,下午4时许，在陕西省延安市安塞区安塞区砖窑湾镇S303省道，出租车（A车，陕J·R43221）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260311-0092,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段非机动车碰撞,非机动车碰撞,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,待处理,2026-03-11 09:34:36,中,,晴,桥梁路段，双向两车道，冬季易结冰,中午11时许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，电动自行车（A车，鲁H·U62170）与面包车（B车，鲁H·D57258）在混合车道内行驶时，因注意力不集中发生碰撞。事故造成受伤倒地。
ACC-20260313-0076,山东省济宁市曲阜市曲阜市静轩东路商业街口路口剐蹭,路口剐蹭,山东省济宁市曲阜市曲阜市静轩东路商业街口,已完成,2026-03-13 21:05:05,中,王守义,阴,国道一级公路，双向六车道，中央隔离带，限速80km/h,下午3时45分许，在山东省济宁市曲阜市曲阜市静轩东路商业街口，出租车（A车，鲁H·Y82946）与面包车（B车，鲁H·E748HY）在通过路口时，因路面湿滑发生侧面剐蹭。双方车辆车身受损，副驾驶乘客受轻微伤。
ACC-20260314-0062,山东省济宁市曲阜市曲阜市时庄街道开发区主干道单车事故,单车事故,山东省济宁市曲阜市曲阜市时庄街道开发区主干道,处理中,2026-03-14 15:37:50,中,张建国,晴,乡镇中心道路，赶集日人车密集，无信号灯,下午4时许，在山东省济宁市曲阜市曲阜市时庄街道开发区主干道，面包车（A车，鲁H·X722JD）行驶途中因未按规定让行，车辆失控撞向路边的防护栏，造成车辆挡风玻璃破裂。
ACC-20260315-0030,陕西省延安市安塞区安塞区镰刀湾乡三岔路口行人事故,行人事故,陕西省延安市安塞区安塞区镰刀湾乡三岔路口,待分析,2026-03-15 20:30:39,高,,晴,国道二级公路，双向两车道，路面有轻微坑槽,上午11时20分许，在陕西省延安市安塞区安塞区镰刀湾乡三岔路口，SUV（A车，陕J·R64043）行至该路段时，行人一行人突然从南横穿马路，SUV（A车，陕J·R64043）刹车不及发生碰撞。事故造成行人受伤倒地，车辆前保险杠受损。
ACC-20260316-0063,山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路逆行碰撞,逆行碰撞,山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路,处理中,2026-03-16 11:46:03,高,李明辉,中雨,开发区主干道，货车与轿车混行，交叉口多,夜间23时许，在山东省济宁市曲阜市曲阜市息陬镇孔子大道辅路，电动自行车（A车，鲁H·R739XH）逆向行驶，与正常行驶的公交车（B车，鲁H·W284ZM）发生正面碰撞。事故造成两车严重受损。
ACC-20260316-0078,山东省济宁市曲阜市曲阜市陵城镇济宁学院门口侧碰事故,侧碰事故,山东省济宁市曲阜市曲阜市陵城镇济宁学院门口,待处理,2026-03-16 14:39:41,低,,小雨,乡镇中心道路，赶集日人车密集，无信号灯,下午4时许，在山东省济宁市曲阜市曲阜市陵城镇济宁学院门口，面包车（A车，鲁H·M836BM）在通过路口时，出租车（B车，鲁H·G151KU）从北方向驶来，两车在路口中央发生侧面碰撞。事故造成面包车（A车，鲁H·M836BM）右侧车门严重变形，无人员伤亡。
ACC-20260316-0034,陕西省延安市安塞区安塞区城南大道与迎宾路交叉口桥梁事故,桥梁事故,陕西省延安市安塞区安塞区城南大道与迎宾路交叉口,处理中,2026-03-16 19:09:36,低,赵文博,晴,乡镇街道，混合交通，无隔离设施,傍晚6时许，在陕西省延安市安塞区安塞区城南大道与迎宾路交叉口，路面因天气原因湿滑，小型轿车（A车，陕J·P87916）行驶至桥梁路段时车辆打滑，与桥面护栏发生碰撞。
ACC-20260318-0105,山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处闯红灯事故,闯红灯事故,山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处,处理中,2026-03-18 22:16:50,中,赵文博,小雪,开发区主干道，货车与轿车混行，交叉口多,上午7时50分许，在山东省济宁市曲阜市曲阜市滨河路与大成桥交汇处路口，小型轿车（A车，鲁H·F64602）违反交通信号灯指示闯红灯，与正常通行的出租车（B车，鲁H·J184PB）发生碰撞。事故造成左侧车身凹陷。
ACC-20260320-0074,山东省济宁市曲阜市曲阜市春秋中路人民医院门前坠物事故,坠物事故,山东省济宁市曲阜市曲阜市春秋中路人民医院门前,处理中,2026-03-20 07:11:34,低,赵文博,霾,国道一级公路，双向六车道，中央隔离带，限速80km/h,夜间23时许，在山东省济宁市曲阜市曲阜市春秋中路人民医院门前，前方货车小型轿车（A车，鲁H·J67651）运载的货物未固定牢固，途中坠落砸中后方货车（B车，鲁H·R15574）。事故造成货车（B车，鲁H·R15574）车顶受损。
ACC-20260320-0072,山东省济宁市曲阜市曲阜市防山镇东环路行人事故,行人事故,山东省济宁市曲阜市曲阜市防山镇东环路,已完成,2026-03-20 20:46:51,高,李明辉,小雨,景区周边道路，旅游车辆密集，路边临时停车多,清晨6时40分许，在山东省济宁市曲阜市曲阜市防山镇东环路，面包车（A车，鲁H·S878TX）行至该路段时，行人一行人突然从西横穿马路，面包车（A车，鲁H·S878TX）刹车不及发生碰撞。事故造成行人受伤倒地，车辆前保险杠受损。
ACC-20260322-0024,陕西省延安市安塞区安塞区包茂高速安塞服务区入口酒驾事故,酒驾事故,陕西省延安市安塞区安塞区包茂高速安塞服务区入口,已完成,2026-03-22 19:56:17,低,王守义,小雪,城区十字路口，有交通信号灯，人车混行,下午2时许，在陕西省延安市安塞区安塞区包茂高速安塞服务区入口，SUV（A车，陕J·Y92332）驾驶员涉嫌酒后驾驶，车辆失控与小型轿车（B车，陕J·E901YG）发生碰撞。经检测SUV（A车，陕J·Y92332）驾驶员血液酒精含量超标。事故造成车身多处刮擦。
ACC-20260323-0086,山东省济宁市曲阜市曲阜市孔子大道高铁站前路段弯道碰撞,弯道碰撞,山东省济宁市曲阜市曲阜市孔子大道高铁站前路段,已完成,2026-03-23 23:39:12,高,王守义,阴,国道一级公路，双向六车道，中央隔离带，限速80km/h,下午3时45分许，在山东省济宁市曲阜市曲阜市孔子大道高铁站前路段，摩托车（A车，鲁H·U547JZ）与SUV（B车，鲁H·P460DZ）在弯道会车时，因刹车失灵发生碰撞。事故造成两车左侧车身凹陷。
ACC-20260325-0018,陕西省延安市安塞区安塞区化子坪镇卫生院门前追尾事故,追尾事故,陕西省延安市安塞区安塞区化子坪镇卫生院门前,处理中,2026-03-25 19:35:43,中,赵文博,小雨,城市主干道，双向四车道，沥青路面，限速60km/h,傍晚6时许，在陕西省延安市安塞区安塞区化子坪镇卫生院门前，公交车（A车，陕J·U44459）沿道路正常行驶，电动自行车（B车，陕J·J33054）因灯光使用不当未能保持安全距离，追尾碰撞公交车（A车，陕J·U44459）尾部。事故造成两车不同程度受损，造成1人轻伤。
ACC-20260326-0026,陕西省延安市安塞区安塞区真武洞镇后街菜市场门口追尾事故,追尾事故,陕西省延安市安塞区安塞区真武洞镇后街菜市场门口,待处理,2026-03-26 06:58:55,高,,霾,城市主干道，双向四车道，沥青路面，限速60km/h,晚上8时许，在陕西省延安市安塞区安塞区真武洞镇后街菜市场门口，电动自行车（A车，陕J·G87069）沿道路正常行驶，公交车（B车，陕J·B95206）因疲劳驾驶未能保持安全距离，追尾碰撞电动自行车（A车，陕J·G87069）尾部。事故造成两车不同程度受损，造成1人轻伤。
ACC-20260326-0084,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口弯道碰撞,弯道碰撞,山东省济宁市曲阜市曲阜市吴村镇中心街十字路口,已完成,2026-03-26 12:10:51,低,陈志远,中雨,乡镇中心道路，赶集日人车密集，无信号灯,下午5时10分许，在山东省济宁市曲阜市曲阜市吴村镇中心街十字路口，摩托车（A车，鲁H·D845VZ）与面包车（B车，鲁H·B81044）在弯道会车时，因判断失误发生碰撞。事故造成两车挡风玻璃破裂。
ACC-20260326-0046,陕西省延安市安塞区安塞区镰刀湾乡三岔路口匝道事故,匝道事故,陕西省延安市安塞区安塞区镰刀湾乡三岔路口,处理中,2026-03-26 14:12:05,中,李明辉,阴,城区十字路口，有交通信号灯，人车混行,下午5时10分许，在陕西省延安市安塞区安塞区镰刀湾乡三岔路口，摩托车（A车，陕J·H84740）驶出匝道时速度过快，与匝道口的防护栏发生碰撞。事故造成车辆受损。
ACC-20260326-0087,山东省济宁市曲阜市曲阜市南辛镇九龙山路段制动失效,制动失效,山东省济宁市曲阜市曲阜市南辛镇九龙山路段,待分析,2026-03-26 16:31:42,低,,中雨,环城路，双向四车道，夜间货车多,清晨6时40分许，在山东省济宁市曲阜市曲阜市南辛镇九龙山路段，货车（A车，鲁H·Z36378）刹车系统突然失效，无法减速，追尾前方等候信号灯的小型轿车（B车，鲁H·D935TE）。事故造成右侧车门凹陷。
ACC-20260327-0054,陕西省延安市安塞区安塞区招安镇街道十字路口坠物事故,坠物事故,陕西省延安市安塞区安塞区招安镇街道十字路口,处理中,2026-03-27 18:48:16,低,赵文博,霾,国道二级公路，双向两车道，路面有轻微坑槽,下午3时45分许，在陕西省延安市安塞区安塞区招安镇街道十字路口，前方货车小型轿车（A车，陕J·J98825）运载的货物未固定牢固，途中坠落砸中后方摩托车（B车，陕J·A95554）。事故造成摩托车（B车，陕J·A95554）车顶受损。
ACC-20260328-0083,山东省济宁市曲阜市曲阜市石门山镇G104国道单车事故,单车事故,山东省济宁市曲阜市曲阜市石门山镇G104国道,处理中,2026-03-28 10:27:44,高,赵文博,雾,学校路段，限速30km/h，有减速带,上午7时50分许，在山东省济宁市曲阜市曲阜市石门山镇G104国道，公交车（A车，鲁H·J78251）行驶途中因未按规定让行，车辆失控撞向路侧的树木，造成车辆挡风玻璃破裂。
ACC-20260328-0102,山东省济宁市曲阜市曲阜市静轩东路商业街口货车侧翻,货车侧翻,山东省济宁市曲阜市曲阜市静轩东路商业街口,待分析,2026-03-28 21:15:20,高,,阴,高铁站前道路，交通流量大，有公交专用道,上午10时许，在山东省济宁市曲阜市曲阜市静轩东路商业街口，货车（A车，鲁H·F980HZ）在弯道行驶时因车速过快且灯光使用不当，车辆重心偏移发生侧翻。事故造成车辆及所载货物受损，道路通行受阻。
ACC-20260328-0050,陕西省延安市安塞区安塞区化子坪镇幼儿园路段疲劳驾驶事故,疲劳驾驶事故,陕西省延安市安塞区安塞区化子坪镇幼儿园路段,已完成,2026-03-28 23:43:20,中,王守义,中雨,山路弯道，一侧临崖，水泥路面,下午4时许，在陕西省延安市安塞区安塞区化子坪镇幼儿园路段，出租车（A车，陕J·U89702）驾驶员因长时间驾驶疲劳，车辆偏离车道撞向路边停放的车辆。事故造成车辆车身多处刮擦。
ACC-20260330-0056,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段坠物事故,坠物事故,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,已完成,2026-03-30 06:26:44,低,赵文博,晴,高铁站前道路，交通流量大，有公交专用道,傍晚6时许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，前方货车SUV（A车，鲁H·L94391）运载的货物未固定牢固，途中坠落砸中后方摩托车（B车，鲁H·K73924）。事故造成摩托车（B车，鲁H·K73924）车顶受损。
ACC-20260330-0036,陕西省延安市安塞区安塞区城南客运站广场多车连环碰撞,多车连环碰撞,陕西省延安市安塞区安塞区城南客运站广场,已完成,2026-03-30 10:20:53,高,张建国,小雪,省道三级公路，路面宽7米，夜间照明不足,上午7时50分许，在陕西省延安市安塞区安塞区城南客运站广场，因未按规定让行，出租车（A车，陕J·N231QS）首先与货车（B车，陕J·B483FS）发生碰撞，后方出租车（C车，陕J·D740JC）等车辆避让不及，陆续发生追尾，形成多车连环碰撞事故。共涉及4辆车，驾驶员受轻伤已送医。
ACC-20260330-0015,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛倒车碰撞,倒车碰撞,陕西省延安市安塞区安塞区真武洞镇鼓楼环岛,处理中,2026-03-30 18:27:17,低,李明辉,中雨,城区十字路口，有交通信号灯，人车混行,凌晨5时许，在陕西省延安市安塞区安塞区真武洞镇鼓楼环岛，出租车（A车，陕J·S42634）在倒车时未注意观察后方，与停放的面包车（B车，陕J·K38218）发生碰撞。事故造成面包车（B车，陕J·K38218）车身受损。
ACC-20260331-0096,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段逆行碰撞,逆行碰撞,山东省济宁市曲阜市曲阜市王庄镇G327国道K578段,待处理,2026-03-31 11:57:27,中,,多云,国道一级公路，双向六车道，中央隔离带，限速80km/h,下午4时许，在山东省济宁市曲阜市曲阜市王庄镇G327国道K578段，摩托车（A车，鲁H·W756BM）逆向行驶，与正常行驶的SUV（B车，鲁H·D76344）发生正面碰撞。事故造成两车严重受损。
